idx,name,code,text,cosine_to_target
123,Alpha_00123,ZK32F00123,"Record(name=Alpha_00123, code=ZK32F00123)",0.968318229515064
124,Alpha_00124,ZK32F00124,"Record(name=Alpha_00124, code=ZK32F00124)",0.9744209650257055
125,Alpha_00125,ZK32F00125,"Record(name=Alpha_00125, code=ZK32F00125)",0.974676471707906
126,Alpha_00126,ZK32F00126,"Record(name=Alpha_00126, code=ZK32F00126)",0.9749539770597235
127,Alpha_00127,ZK32F00127,"Record(name=Alpha_00127, code=ZK32F00127)",0.9721025701882203
128,Alpha_00128,ZK32F00128,"Record(name=Alpha_00128, code=ZK32F00128)",0.974230008643426
129,Alpha_00129,ZK32F00129,"Record(name=Alpha_00129, code=ZK32F00129)",0.9761589682029899
130,Alpha_00130,ZK32F00130,"Record(name=Alpha_00130, code=ZK32F00130)",0.9760534971687399
131,Alpha_00131,ZK32F00131,"Record(name=Alpha_00131, code=ZK32F00131)",0.9763431691858777
132,Alpha_00132,ZK32F00132,"Record(name=Alpha_00132, code=ZK32F00132)",0.9734813175266593
133,Alpha_00133,ZK32F00133,"Record(name=Alpha_00133, code=ZK32F00133)",0.9790131962588402
134,Alpha_00134,ZK32F00134,"Record(name=Alpha_00134, code=ZK32F00134)",0.9799686663440443
135,Alpha_00135,ZK32F00135,"Record(name=Alpha_00135, code=ZK32F00135)",0.977766011340606
136,Alpha_00136,ZK32F00136,"Record(name=Alpha_00136, code=ZK32F00136)",0.9765958429586131
137,Alpha_00137,ZK32F00137,"Record(name=Alpha_00137, code=ZK32F00137)",0.9792062244499612
138,Alpha_00138,ZK32F00138,"Record(name=Alpha_00138, code=ZK32F00138)",0.9775298936088955
139,Alpha_00139,ZK32F00139,"Record(name=Alpha_00139, code=ZK32F00139)",0.9795481419859142
140,Alpha_00140,ZK32F00140,"Record(name=Alpha_00140, code=ZK32F00140)",0.9787437997904833
141,Alpha_00141,ZK32F00141,"Record(name=Alpha_00141, code=ZK32F00141)",0.9765521552379088
142,Alpha_00142,ZK32F00142,"Record(name=Alpha_00142, code=ZK32F00142)",0.9786252269898298
143,Alpha_00143,ZK32F00143,"Record(name=Alpha_00143, code=ZK32F00143)",0.9777491467267577
144,Alpha_00144,ZK32F00144,"Record(name=Alpha_00144, code=ZK32F00144)",0.9803923232392365
145,Alpha_00145,ZK32F00145,"Record(name=Alpha_00145, code=ZK32F00145)",0.9761228759978177
146,Alpha_00146,ZK32F00146,"Record(name=Alpha_00146, code=ZK32F00146)",0.9772797954070566
147,Alpha_00147,ZK32F00147,"Record(name=Alpha_00147, code=ZK32F00147)",0.9773049782598029
148,Alpha_00148,ZK32F00148,"Record(name=Alpha_00148, code=ZK32F00148)",0.9765626387965617
149,Alpha_00149,ZK32F00149,"Record(name=Alpha_00149, code=ZK32F00149)",0.9817902712079845
150,Alpha_00150,ZK32F00150,"Record(name=Alpha_00150, code=ZK32F00150)",0.9780057310571075
151,Alpha_00151,ZK32F00151,"Record(name=Alpha_00151, code=ZK32F00151)",0.9782214374835553
152,Alpha_00152,ZK32F00152,"Record(name=Alpha_00152, code=ZK32F00152)",0.9771626597304266
153,Alpha_00153,ZK32F00153,"Record(name=Alpha_00153, code=ZK32F00153)",0.9808974291984034
154,Alpha_00154,ZK32F00154,"Record(name=Alpha_00154, code=ZK32F00154)",0.9780927376208643
155,Alpha_00155,ZK32F00155,"Record(name=Alpha_00155, code=ZK32F00155)",0.9785596452642651
156,Alpha_00156,ZK32F00156,"Record(name=Alpha_00156, code=ZK32F00156)",0.9792003906911387
157,Alpha_00157,ZK32F00157,"Record(name=Alpha_00157, code=ZK32F00157)",0.9760165574343476
158,Alpha_00158,ZK32F00158,"Record(name=Alpha_00158, code=ZK32F00158)",0.9787034552692839
159,Alpha_00159,ZK32F00159,"Record(name=Alpha_00159, code=ZK32F00159)",0.9784589261658002
160,Alpha_00160,ZK32F00160,"Record(name=Alpha_00160, code=ZK32F00160)",0.9758351561733545
161,Alpha_00161,ZK32F00161,"Record(name=Alpha_00161, code=ZK32F00161)",0.9790797417562715
162,Alpha_00162,ZK32F00162,"Record(name=Alpha_00162, code=ZK32F00162)",0.9768704310735561
163,Alpha_00163,ZK32F00163,"Record(name=Alpha_00163, code=ZK32F00163)",0.9780901104709427
164,Alpha_00164,ZK32F00164,"Record(name=Alpha_00164, code=ZK32F00164)",0.9761559355085249
165,Alpha_00165,ZK32F00165,"Record(name=Alpha_00165, code=ZK32F00165)",0.9761204853633401
166,Alpha_00166,ZK32F00166,"Record(name=Alpha_00166, code=ZK32F00166)",0.9809932466455916
167,Alpha_00167,ZK32F00167,"Record(name=Alpha_00167, code=ZK32F00167)",0.9753165466448379
168,Alpha_00168,ZK32F00168,"Record(name=Alpha_00168, code=ZK32F00168)",0.9774316824864812
169,Alpha_00169,ZK32F00169,"Record(name=Alpha_00169, code=ZK32F00169)",0.9812419076554744
170,Alpha_00170,ZK32F00170,"Record(name=Alpha_00170, code=ZK32F00170)",0.9687488198524787
171,Alpha_00171,ZK32F00171,"Record(name=Alpha_00171, code=ZK32F00171)",0.9781762072630843
172,Alpha_00172,ZK32F00172,"Record(name=Alpha_00172, code=ZK32F00172)",0.9778802955698312
173,Alpha_00173,ZK32F00173,"Record(name=Alpha_00173, code=ZK32F00173)",0.9788245459485666
174,Alpha_00174,ZK32F00174,"Record(name=Alpha_00174, code=ZK32F00174)",0.9791801343660437
175,Alpha_00175,ZK32F00175,"Record(name=Alpha_00175, code=ZK32F00175)",0.977091675893103
176,Alpha_00176,ZK32F00176,"Record(name=Alpha_00176, code=ZK32F00176)",0.9799187115178017
177,Alpha_00177,ZK32F00177,"Record(name=Alpha_00177, code=ZK32F00177)",0.9817947655593312
178,Alpha_00178,ZK32F00178,"Record(name=Alpha_00178, code=ZK32F00178)",0.9769465150688029
179,Alpha_00179,ZK32F00179,"Record(name=Alpha_00179, code=ZK32F00179)",0.9782059557036973
180,Alpha_00180,ZK32F00180,"Record(name=Alpha_00180, code=ZK32F00180)",0.975650888332413
181,Alpha_00181,ZK32F00181,"Record(name=Alpha_00181, code=ZK32F00181)",0.9790111078353764
182,Alpha_00182,ZK32F00182,"Record(name=Alpha_00182, code=ZK32F00182)",0.9793298100602885
183,Alpha_00183,ZK32F00183,"Record(name=Alpha_00183, code=ZK32F00183)",0.9791050347463202
184,Alpha_00184,ZK32F00184,"Record(name=Alpha_00184, code=ZK32F00184)",0.9792491690510537
185,Alpha_00185,ZK32F00185,"Record(name=Alpha_00185, code=ZK32F00185)",0.979514077309338
186,Alpha_00186,ZK32F00186,"Record(name=Alpha_00186, code=ZK32F00186)",0.9799229671409104
187,Alpha_00187,ZK32F00187,"Record(name=Alpha_00187, code=ZK32F00187)",0.9782962656136212
188,Alpha_00188,ZK32F00188,"Record(name=Alpha_00188, code=ZK32F00188)",0.9786316024652634
189,Alpha_00189,ZK32F00189,"Record(name=Alpha_00189, code=ZK32F00189)",0.9787630210109851
190,Alpha_00190,ZK32F00190,"Record(name=Alpha_00190, code=ZK32F00190)",0.9767482052181294
191,Alpha_00191,ZK32F00191,"Record(name=Alpha_00191, code=ZK32F00191)",0.9788688520363629
192,Alpha_00192,ZK32F00192,"Record(name=Alpha_00192, code=ZK32F00192)",0.9779314124789641
193,Alpha_00193,ZK32F00193,"Record(name=Alpha_00193, code=ZK32F00193)",0.9788629859626333
194,Alpha_00194,ZK32F00194,"Record(name=Alpha_00194, code=ZK32F00194)",0.9778523292830874
195,Alpha_00195,ZK32F00195,"Record(name=Alpha_00195, code=ZK32F00195)",0.9770819406093674
196,Alpha_00196,ZK32F00196,"Record(name=Alpha_00196, code=ZK32F00196)",0.9775292954196544
197,Alpha_00197,ZK32F00197,"Record(name=Alpha_00197, code=ZK32F00197)",0.975184319578921
198,Alpha_00198,ZK32F00198,"Record(name=Alpha_00198, code=ZK32F00198)",0.9780867030578473
199,Alpha_00199,ZK32F00199,"Record(name=Alpha_00199, code=ZK32F00199)",0.9773276768649045
200,Alpha_00200,ZK32F00200,"Record(name=Alpha_00200, code=ZK32F00200)",0.9763701190924795
201,Alpha_00201,ZK32F00201,"Record(name=Alpha_00201, code=ZK32F00201)",0.9754707651755958
202,Alpha_00202,ZK32F00202,"Record(name=Alpha_00202, code=ZK32F00202)",0.9747522158618772
203,Alpha_00203,ZK32F00203,"Record(name=Alpha_00203, code=ZK32F00203)",0.9769742474400342
204,Alpha_00204,ZK32F00204,"Record(name=Alpha_00204, code=ZK32F00204)",0.9788625813703091
205,Alpha_00205,ZK32F00205,"Record(name=Alpha_00205, code=ZK32F00205)",0.9779429749560957
206,Alpha_00206,ZK32F00206,"Record(name=Alpha_00206, code=ZK32F00206)",0.975457129630084
207,Alpha_00207,ZK32F00207,"Record(name=Alpha_00207, code=ZK32F00207)",0.9766898041667564
208,Alpha_00208,ZK32F00208,"Record(name=Alpha_00208, code=ZK32F00208)",0.9779912619127156
209,Alpha_00209,ZK32F00209,"Record(name=Alpha_00209, code=ZK32F00209)",0.9796686194392974
210,Alpha_00210,ZK32F00210,"Record(name=Alpha_00210, code=ZK32F00210)",0.9780292052996313
211,Alpha_00211,ZK32F00211,"Record(name=Alpha_00211, code=ZK32F00211)",0.9796182701839901
212,Alpha_00212,ZK32F00212,"Record(name=Alpha_00212, code=ZK32F00212)",0.9773045300936254
213,Alpha_00213,ZK32F00213,"Record(name=Alpha_00213, code=ZK32F00213)",0.9788460746076016
214,Alpha_00214,ZK32F00214,"Record(name=Alpha_00214, code=ZK32F00214)",0.9775437013910127
215,Alpha_00215,ZK32F00215,"Record(name=Alpha_00215, code=ZK32F00215)",0.9774326178551013
216,Alpha_00216,ZK32F00216,"Record(name=Alpha_00216, code=ZK32F00216)",0.9776839313340004
217,Alpha_00217,ZK32F00217,"Record(name=Alpha_00217, code=ZK32F00217)",0.9792617149039837
218,Alpha_00218,ZK32F00218,"Record(name=Alpha_00218, code=ZK32F00218)",0.9784426682992077
219,Alpha_00219,ZK32F00219,"Record(name=Alpha_00219, code=ZK32F00219)",0.9808947734928458
220,Alpha_00220,ZK32F00220,"Record(name=Alpha_00220, code=ZK32F00220)",0.9792061864398734
221,Alpha_00221,ZK32F00221,"Record(name=Alpha_00221, code=ZK32F00221)",0.9788644676273682
222,Alpha_00222,ZK32F00222,"Record(name=Alpha_00222, code=ZK32F00222)",0.9767279942428064
223,Alpha_00223,ZK32F00223,"Record(name=Alpha_00223, code=ZK32F00223)",0.9761691312139213
224,Alpha_00224,ZK32F00224,"Record(name=Alpha_00224, code=ZK32F00224)",0.9757430584405606
225,Alpha_00225,ZK32F00225,"Record(name=Alpha_00225, code=ZK32F00225)",0.9779612591266822
226,Alpha_00226,ZK32F00226,"Record(name=Alpha_00226, code=ZK32F00226)",0.9787443796685439
227,Alpha_00227,ZK32F00227,"Record(name=Alpha_00227, code=ZK32F00227)",0.9763319048188576
228,Alpha_00228,ZK32F00228,"Record(name=Alpha_00228, code=ZK32F00228)",0.9762634110501774
229,Alpha_00229,ZK32F00229,"Record(name=Alpha_00229, code=ZK32F00229)",0.9779937289485442
230,Alpha_00230,ZK32F00230,"Record(name=Alpha_00230, code=ZK32F00230)",0.9769127322711919
231,Alpha_00231,ZK32F00231,"Record(name=Alpha_00231, code=ZK32F00231)",0.9786776146814503
232,Alpha_00232,ZK32F00232,"Record(name=Alpha_00232, code=ZK32F00232)",0.9768637863644358
233,Alpha_00233,ZK32F00233,"Record(name=Alpha_00233, code=ZK32F00233)",0.9800824406068002
234,Alpha_00234,ZK32F00234,"Record(name=Alpha_00234, code=ZK32F00234)",0.97997425892108
235,Alpha_00235,ZK32F00235,"Record(name=Alpha_00235, code=ZK32F00235)",0.9806467691722166
236,Alpha_00236,ZK32F00236,"Record(name=Alpha_00236, code=ZK32F00236)",0.978145171914221
237,Alpha_00237,ZK32F00237,"Record(name=Alpha_00237, code=ZK32F00237)",0.9793102740611425
238,Alpha_00238,ZK32F00238,"Record(name=Alpha_00238, code=ZK32F00238)",0.9758254387186155
239,Alpha_00239,ZK32F00239,"Record(name=Alpha_00239, code=ZK32F00239)",0.9815411893833792
240,Alpha_00240,ZK32F00240,"Record(name=Alpha_00240, code=ZK32F00240)",0.9808960867539074
241,Alpha_00241,ZK32F00241,"Record(name=Alpha_00241, code=ZK32F00241)",0.9804380301211615
242,Alpha_00242,ZK32F00242,"Record(name=Alpha_00242, code=ZK32F00242)",0.9791921633210856
243,Alpha_00243,ZK32F00243,"Record(name=Alpha_00243, code=ZK32F00243)",0.9783902494341248
244,Alpha_00244,ZK32F00244,"Record(name=Alpha_00244, code=ZK32F00244)",0.9802075554795121
245,Alpha_00245,ZK32F00245,"Record(name=Alpha_00245, code=ZK32F00245)",0.9799875882797354
246,Alpha_00246,ZK32F00246,"Record(name=Alpha_00246, code=ZK32F00246)",0.9783705669048519
247,Alpha_00247,ZK32F00247,"Record(name=Alpha_00247, code=ZK32F00247)",0.9802743399770775
248,Alpha_00248,ZK32F00248,"Record(name=Alpha_00248, code=ZK32F00248)",0.9755772560913311
249,Alpha_00249,ZK32F00249,"Record(name=Alpha_00249, code=ZK32F00249)",0.9808479607884006
250,Alpha_00250,ZK32F00250,"Record(name=Alpha_00250, code=ZK32F00250)",0.9777946814165496
251,Alpha_00251,ZK32F00251,"Record(name=Alpha_00251, code=ZK32F00251)",0.979699739204025
252,Alpha_00252,ZK32F00252,"Record(name=Alpha_00252, code=ZK32F00252)",0.9770999657272325
253,Alpha_00253,ZK32F00253,"Record(name=Alpha_00253, code=ZK32F00253)",0.9800419992852425
254,Alpha_00254,ZK32F00254,"Record(name=Alpha_00254, code=ZK32F00254)",0.9769639856486536
255,Alpha_00255,ZK32F00255,"Record(name=Alpha_00255, code=ZK32F00255)",0.9776630785169556
256,Alpha_00256,ZK32F00256,"Record(name=Alpha_00256, code=ZK32F00256)",0.9781191715177797
257,Alpha_00257,ZK32F00257,"Record(name=Alpha_00257, code=ZK32F00257)",0.9751307796813753
258,Alpha_00258,ZK32F00258,"Record(name=Alpha_00258, code=ZK32F00258)",0.9770516504281973
259,Alpha_00259,ZK32F00259,"Record(name=Alpha_00259, code=ZK32F00259)",0.9803539934114457
260,Alpha_00260,ZK32F00260,"Record(name=Alpha_00260, code=ZK32F00260)",0.976776659082912
261,Alpha_00261,ZK32F00261,"Record(name=Alpha_00261, code=ZK32F00261)",0.9788437875242798
262,Alpha_00262,ZK32F00262,"Record(name=Alpha_00262, code=ZK32F00262)",0.9774886707399582
263,Alpha_00263,ZK32F00263,"Record(name=Alpha_00263, code=ZK32F00263)",0.9784524333327466
264,Alpha_00264,ZK32F00264,"Record(name=Alpha_00264, code=ZK32F00264)",0.9761285769895851
265,Alpha_00265,ZK32F00265,"Record(name=Alpha_00265, code=ZK32F00265)",0.9794119659324239
266,Alpha_00266,ZK32F00266,"Record(name=Alpha_00266, code=ZK32F00266)",0.9789258158764467
267,Alpha_00267,ZK32F00267,"Record(name=Alpha_00267, code=ZK32F00267)",0.9766170560754648
268,Alpha_00268,ZK32F00268,"Record(name=Alpha_00268, code=ZK32F00268)",0.9779927716219776
